Farm_ID,Crop_Type,Farm_Area_acres,Irrigation_Type,Fertilizer_Used_tons,Pesticide_Used(kg),yield_tonnes,location,Water_Usage_cubicmeters
1,Cotton,329.4,Sprinkler,8.14,2.21,6.7,urban,76648.2
2,Rice,18.67,Manual,4.77,4.36,6.8,rural,68725.54
3,Rice,306.03,Flood,2.91,0.56,10.2,urban,75538.56
4,Soybean,380.21,Rain-fed,3.32,4.35,8.34,rural,45401.23
5,Soybean,135.56,Sprinkler,8.33,4.48,7.74,urban,93718.69
6,Rice,12.5,Sprinkler,6.42,2.25,8.06,rural,46487.98
7,Soybean,360.06,Drip,1.83,2.37,5.69,rural,40583.57
8,Rice,464.6,Drip,5.18,0.91,6.18,urban,9392.38
9,Cotton,389.37,Drip,0.57,4.93,7.6,rural,60202.14
10,Soybean,184.37,Drip,2.18,2.67,8.11,rural,90922.15
11,Rice,279.95,Drip,8.02,1.24,10.92,urban,5869.75
12,Rice,145.32,Flood,3.01,2.27,8.67,rural,88976.51
13,Cotton,329.1,Drip,5.26,0.83,6.04,urban,45922.35
14,Rice,246.02,Flood,1.01,3.45,7.71,rural,71953.14
15,Rice,305.15,Rain-fed,5.39,2.15,8.83,rural,33615.77
16,Cotton,60.22,Flood,2.19,0.35,10.97,urban,25132.48
17,Rice,284.01,Manual,5.89,0.81,8.56,rural,88301.46
18,Cotton,128.23,Rain-fed,4.91,0.77,8.54,urban,18660.03
19,Cotton,460.93,Drip,1.09,1.31,8.75,rural,54314.28
20,Cotton,58.85,Sprinkler,3.61,3.32,6.03,rural,92481.89
21,Cotton,377.05,Drip,5.95,0.91,7.52,urban,26743.55
22,Cotton,92.67,Flood,6.95,3.64,7.24,rural,42874.34
23,Potato,15.67,Drip,9.95,2.99,9.83,rural,41862.86
24,Rice,483.88,Drip,6.31,2.29,7.83,urban,61383.07
25,Cotton,75.64,Flood,6.69,3.57,7.53,rural,43847.82
26,Cotton,162.28,Flood,5.85,2.42,7.91,urban,65838.4
27,Cotton,375.1,Rain-fed,0.5,4.76,11.2,rural,39362.44
28,Soybean,256.19,Flood,7.32,2.19,7.21,rural,81313.04
29,Cotton,288.52,Manual,1.79,4.78,6.01,urban,23208.04
30,Potato,286.52,Rain-fed,8.91,0.77,8.6,rural,93407.38
31,Cotton,136.16,Flood,5.89,1.36,8.03,urban,30098.35
