Farm_ID,Crop_Type,Farm_Area_acres,Irrigation_Type,Fertilizer_Used_tons,Pesticide_Used(kg),yield_tonnes,location,Water_Usage_cubicmeters
100,Soybean,446.16,Manual,4.35,3.47,5.64,rural,38874.28
101,Soybean,156.1,Manual,1.18,4.43,6.68,urban,73646.55
102,Rice,431.22,Drip,5.71,3.18,6.28,rural,36065.94
103,Potato,220.48,Flood,9.96,2.91,7.63,urban,82549.03
104,Potato,166.82,Rain-fed,2.85,1.36,8.86,urban,12007.7
105,Cotton,370.79,Flood,8.18,4.99,8.79,rural,85208.71
106,Soybean,418.99,Sprinkler,0.78,0.58,7.17,urban,33705.69
107,Cotton,78.79,Flood,1.35,3,6.81,rural,94754.73
108,Soybean,84.12,Manual,4.64,2.53,8.88,rural,40614.4
109,Soybean,326.69,Sprinkler,5.24,0.55,7.33,urban,37466.11
110,Soybean,112.8,Sprinkler,1.8,1.01,7.89,rural,79966.1
111,Soybean,347.66,Drip,3.86,2.68,8.44,rural,86989.88
112,Rice,60.22,Flood,2.19,0.35,6.75,urban,25132.48
113,Potato,284.01,Manual,5.89,0.81,8.24,rural,88301.46
114,Potato,128.23,Rain-fed,4.91,0.77,7.29,urban,18660.03
115,Cotton,460.93,Drip,1.09,1.31,7.21,rural,54314.28
116,Soybean,58.85,Sprinkler,3.61,3.32,7.4,rural,92481.89
117,Cotton,377.05,Drip,5.95,0.91,7.83,urban,26743.55
118,Cotton,92.67,Flood,6.95,3.64,6.99,rural,42874.34
119,Potato,15.67,Drip,9.95,2.99,6.58,rural,41862.86
120,Rice,483.88,Drip,6.31,2.29,6.05,urban,61383.07
121,Cotton,75.64,Flood,6.69,3.57,7.12,rural,43847.82
122,Cotton,162.28,Flood,5.85,2.42,9.25,urban,65838.4
123,Cotton,375.1,Rain-fed,0.5,4.76,6.59,rural,39362.44
124,Soybean,256.19,Flood,7.32,2.19,9.3,rural,81313.04
125,Cotton,288.52,Manual,1.79,4.78,7.81,urban,23208.04
126,Potato,286.52,Rain-fed,8.91,0.77,8.67,rural,93407.38
127,Cotton,136.16,Flood,5.89,1.36,7.61,urban,30098.35
128,Rice,350.42,Flood,8.4,2.94,8.28,rural,71580.87
129,Cotton,446.76,Drip,7.79,0.96,8.07,rural,93656.06
130,Soybean,264.12,Drip,4.75,4.79,11.42,urban,92745.01
131,Soybean,266.03,Drip,8.57,1.35,6.89,rural,43610.21
132,Cotton,446.16,Manual,4.35,3.47,8.2,rural,38874.28
133,Soybean,156.1,Manual,1.18,4.43,7.91,urban,73646.55
134,Cotton,431.22,Drip,5.71,3.18,4.97,rural,36065.94
135,Cotton,220.48,Flood,9.96,2.91,6.46,urban,82549.03
136,Cotton,166.82,Rain-fed,2.85,1.36,7.74,urban,12007.7
137,Rice,370.79,Flood,8.18,4.99,7.57,rural,85208.71
138,Rice,418.99,Sprinkler,0.78,0.58,7.66,urban,33705.69
139,Cotton,78.79,Flood,1.35,3,7.84,rural,94754.73
140,Soybean,84.12,Manual,4.64,2.53,6.76,rural,40614.4
141,Soybean,326.69,Sprinkler,5.24,0.55,6.61,urban,37466.11
142,Rice,112.8,Sprinkler,1.8,1.01,9.5,rural,79966.1
143,Potato,347.66,Drip,3.86,2.68,10.5,rural,86989.88
144,Potato,77.39,Sprinkler,9.34,3,7,urban,5874.17
145,Cotton,462.37,Sprinkler,2.3,0.14,8.79,urban,53879.87
146,Soybean,292.25,Rain-fed,4.08,0.76,7.44,urban,90232.08
147,Cotton,446.76,Drip,7.79,0.96,7.06,rural,93656.06
148,Soybean,264.12,Drip,4.75,4.79,6.89,urban,92745.01
149,Soybean,266.03,Drip,8.57,1.35,7.49,rural,43610.21
150,Cotton,446.16,Manual,4.35,3.47,7.05,rural,38874.28
151,Soybean,156.1,Manual,1.18,4.43,8.16,urban,73646.55
152,Cotton,431.22,Drip,5.71,3.18,5.98,rural,36065.94
153,Cotton,220.48,Flood,9.96,2.91,8.42,urban,82549.03
154,Cotton,166.82,Rain-fed,2.85,1.36,7.14,urban,12007.7
155,Rice,370.79,Flood,8.18,4.99,8.64,rural,85208.71
156,Rice,418.99,Sprinkler,0.78,0.58,6.66,urban,33705.69
157,Cotton,78.79,Flood,1.35,3,10.28,rural,94754.73
158,Soybean,84.12,Manual,4.64,2.53,4.65,rural,40614.4
159,Soybean,326.69,Sprinkler,5.24,0.55,6.94,urban,37466.11
160,Rice,112.8,Sprinkler,1.8,1.01,7.42,rural,79966.1
161,Potato,347.66,Drip,3.86,2.68,8.96,rural,86989.88
162,Potato,77.39,Sprinkler,9.34,3,6.7,urban,5874.17
163,Cotton,377.05,Drip,5.95,0.91,9.7,urban,26743.55
164,Cotton,92.67,Flood,6.95,3.64,7.53,rural,42874.34
165,Potato,15.67,Drip,9.95,2.99,8.52,rural,41862.86
166,Rice,483.88,Drip,6.31,2.29,6.04,urban,61383.07
167,Cotton,75.64,Flood,6.69,3.57,8.3,rural,43847.82
168,Cotton,162.28,Flood,5.85,2.42,7.16,urban,65838.4
169,Cotton,375.1,Rain-fed,0.5,4.76,7.24,rural,39362.44
170,Soybean,256.19,Flood,7.32,2.19,8.2,rural,81313.04
171,Cotton,288.52,Manual,1.79,4.78,7.91,urban,23208.04
172,Potato,286.52,Rain-fed,8.91,0.77,8.05,rural,93407.38
173,Cotton,136.16,Flood,5.89,1.36,6.12,urban,30098.35
174,Rice,350.42,Flood,8.4,2.94,6.88,rural,71580.87
175,Cotton,446.76,Drip,7.79,0.96,8.96,rural,93656.06
176,Soybean,264.12,Drip,4.75,4.79,7.48,urban,92745.01
177,Soybean,266.03,Drip,8.57,1.35,7.56,rural,43610.21
178,Cotton,446.16,Manual,4.35,3.47,10.54,rural,38874.28
179,Soybean,156.1,Manual,1.18,4.43,10.32,urban,73646.55
180,Cotton,431.22,Drip,5.71,3.18,6.07,rural,36065.94
181,Cotton,220.48,Flood,9.96,2.91,6.8,urban,82549.03
182,Cotton,166.82,Rain-fed,2.85,1.36,7.82,urban,12007.7
183,Rice,370.79,Flood,8.18,4.99,7.18,rural,85208.71
184,Rice,418.99,Sprinkler,0.78,0.58,8.09,urban,33705.69
185,Cotton,78.79,Flood,1.35,3,7.71,rural,94754.73
186,Soybean,84.12,Manual,4.64,2.53,8.75,rural,40614.4
187,Soybean,326.69,Sprinkler,5.24,0.55,9.73,urban,37466.11
188,Rice,112.8,Sprinkler,1.8,1.01,8.01,rural,79966.1
189,Potato,347.66,Drip,3.86,2.68,8.54,rural,86989.88
190,Potato,77.39,Sprinkler,9.34,3,7,urban,5874.17
191,Cotton,462.37,Sprinkler,2.3,0.14,9.45,urban,53879.87
192,Soybean,292.25,Rain-fed,4.08,0.76,10.17,urban,90232.08
193,Cotton,446.76,Drip,7.79,0.96,7.1,rural,93656.06
194,Soybean,264.12,Drip,4.75,4.79,8.46,urban,92745.01
195,Soybean,266.03,Drip,8.57,1.35,9.06,rural,43610.21
196,Cotton,446.16,Manual,4.35,3.47,7.29,rural,38874.28
197,Soybean,156.1,Manual,1.18,4.43,8.76,urban,73646.55
198,Cotton,431.22,Drip,5.71,3.18,7.01,rural,36065.94
199,Cotton,220.48,Flood,9.96,2.91,8.36,urban,82549.03
200,Cotton,166.82,Rain-fed,2.85,1.36,11.2,urban,12007.7
201,Rice,370.79,Flood,8.18,4.99,10.52,rural,85208.71
202,Rice,418.99,Sprinkler,0.78,0.58,7.06,urban,33705.69
203,Cotton,78.79,Flood,1.35,3,7.8,rural,94754.73
